Brand,Model,Slug,Track Size
"Ausa","MH15","ausa-mh15","230x96x33"
"Ausa","MH25","ausa-mh25","300x52.5x74"
"Ausa","MH35","ausa-mh35","300x52.5x84"
"Ausa","MH35R","ausa-mh35r","300x52.5x84"
"Ausa","MH55","ausa-mh55","400x72.5x72"
"Ausa","MH75","ausa-mh75","450x71x86"
"Avant Tecno","Dumper1200","avant-tecno-dumper1200","230x72x45"
"Avant Tecno","Dumper1500","avant-tecno-dumper1500","250x72x45"
"Awasi","75-6","awasi-75-6","450x71x86"
"BOART LONGYEAR","DeltaBase420","boart-longyear-deltabase420","450x71x86"
"BOART LONGYEAR","DeltaBase430","boart-longyear-deltabase430","450x71x86"
"Babyack","Babyack1","babyack-babyack1","190x72x37"
"Babyack","Babyack1","babyack-babyack1","180x72x37"
"Babyack","Babyack2","babyack-babyack2","180x72x34"
"Bandit","19XP","bandit-19xp","400x72.5x76"
"Bandit","3200","bandit-3200","300x52.5x84"
"Baraladi","EB40","baraladi-eb40","230x72x43"
"Baraladi","FB1.02","baraladi-fb102","230x72x43"
"Baraladi","FB1.2","baraladi-fb12","230x72x43"
"Baraladi","FB102B","baraladi-fb102b","230x72x43"
"Baraladi","FB102EB","baraladi-fb102eb","230x72x43"
"Baraladi","FB203","baraladi-fb203","250x72x45"
"Baraladi","Granello","baraladi-granello","180x60x34"
"Baraladi","Minding","baraladi-minding","108x72x37"
"Baraladi","Minding","baraladi-minding","180x72x37"
"Baratti","Scorpio","baratti-scorpio","190x72x37"
"Baratti","Scorpio","baratti-scorpio","180x72x37"
"Barreto","1324STK","barreto-1324stk","180x60x28"
"Barreto","13STKH","barreto-13stkh","180x60x28"
"Barreto","16STKB","barreto-16stkb","180x60x28"
"Barreto","1824TK","barreto-1824tk","180x72x36"
"Barreto","2024RTK","barreto-2024rtk","180x72x36"
"Barreto","2036RTK","barreto-2036rtk","180x72x36"
"Barreto","2324RTK","barreto-2324rtk","180x72x36"
"Bastei","SLD151D","bastei-sld151d","180x72x37"
"Belle","5070","belle-5070","200x72x37"
"Belle","5070","belle-5070","180x72x37"
"Bellon Maria","Monkey","bellon-maria-monkey","170x60x34"
"Bellon Maria","Monkey","bellon-maria-monkey","180x60x34"
"Benassi","M350H","benassi-m350h","180x60x35"
"Benassi","M450H","benassi-m450h","180x60x37"
"Benassi","M550H","benassi-m550h","180x60x37"
"Benati","M13","benati-m13","230x72x43"
"Benati","M14","benati-m14","230x72x43"
"Benati","M16","benati-m16","230x72x45"
"Benfra","9.01","benfra-901","230x72x43"
"Benfra","9.01B","benfra-901b","230x72x43"
"Benfra","9.02","benfra-902","230x72x43"
"Benfra","9.02B","benfra-902b","250x72x52"
"Benfra","9.02S","benfra-902s","230x72x43"
"Bentrac","M16","bentrac-m16","230x72x45"
"Bentrac","M25","bentrac-m25","300x54x74"
"Bentrac","M25","bentrac-m25","250x52.5x76"
"Bentrac","M25","bentrac-m25","300x52.5x76"
"Beretta","GT15","beretta-gt15","230x96x39"
"Beretta","GT15","beretta-gt15","250x48x78"
"Beretta","GT52","beretta-gt52","250x52.5x76"
"Beretta","GT52","beretta-gt52","300x52.5x76"
"Beretta","Skorpio2C","beretta-skorpio2c","230x72x43"
"Beretta","Spider","beretta-spider","230x72x43"
"Beretta","T41","beretta-t41","250x52.5x76"
"Beretta","T41","beretta-t41","300x52.5x76"
"Beretta","T41","beretta-t41","230x72x43"
"Beretta","T21","beretta-t21","180x72x34"
"Beretta","T25","beretta-t25","200x72x36"
"Beretta","T25","beretta-t25","180x72x36"
"Beretta","T43","beretta-t43","230x72x43"
"Beretta","T43/2","beretta-t432","250x72x52"
"Beretta","T44","beretta-t44","250x107.5x37"
"Beretta","T44","beretta-t44","250x52.5x76"
"Beretta","T44","beretta-t44","300x52.5x76"
"Beretta","T45","beretta-t45","230x72x43"
"Beretta","T46","beretta-t46","250x107.5x37"
"Beretta","T46","beretta-t46","250x52.5x76"
"Beretta","T46","beretta-t46","300x52.5x76"
"Beretta","TD50","beretta-td50","230x72x56"
"Beretta","TD75","beretta-td75","230x72x56"
"Bergmann","Dumper","bergmann-dumper","190x72x37"
"Bertani","C75","bertani-c75","230x72x45"
"Bertolini","Mini-excavator","bertolini-mini-excavator","180x60x34"
"Bertolini","Mini-excavator","bertolini-mini-excavator","180x60x38"
"Bertolini","Mini-excavator","bertolini-mini-excavator","180x72x34"
"Betram","Crawler Crane","betram-crawlercrane","400x72.5x72"
"Bitelli","BB611C","bitelli-bb611c","250x72x52"
"Bluelift","Aerial Platform","bluelift-aerialplatform","230x72x43"
"Bluelift","Aerial Platform","bluelift-aerialplatform","230x72x37"
"Bluelift","Aerial Platform","bluelift-aerialplatform","230x96x39"
"Bluelift","Aerial Platform","bluelift-aerialplatform","250x48x78"
"Bobcat","220","bobcat-220","230x96x33"
"Bobcat","220","bobcat-220","230x48x66"
"Bobcat","316","bobcat-316","180x72x38"
"Bobcat","319","bobcat-319","200x72x41"
"Bobcat","320","bobcat-320","230x96x33"
"Bobcat","320","bobcat-320","230x48x66"
"Bobcat","320","bobcat-320","230x72x45"
"Bobcat","320L","bobcat-320l","230x96x33"
"Bobcat","320L","bobcat-320l","230x48x66"
"Bobcat","321","bobcat-321","230x96x33"
"Bobcat","321","bobcat-321","230x48x66"
"Bobcat","322","bobcat-322","230x96x33"
"Bobcat","322","bobcat-322","230x48x66"
"Bobcat","322G","bobcat-322g","230x96x33"
"Bobcat","322G","bobcat-322g","230x48x66"
"Bobcat","323","bobcat-323","230x96x33"
"Bobcat","323","bobcat-323","230x48x66"
"Bobcat","324","bobcat-324","230x96x33"
"Bobcat","324","bobcat-324","230x48x66"
"Bobcat","325","bobcat-325","300x52.5x74"
"Bobcat","328","bobcat-328","320x52.5x74"
"Bobcat","328","bobcat-328","300x52.5x74"
"Bobcat","328G","bobcat-328g","320x52.5x74"
"Bobcat","328G","bobcat-328g","300x52.5x74"
"Bobcat","329","bobcat-329","320x52.5x80"
"Bobcat","331","bobcat-331","320x52.5x80"
"Bobcat","331D","bobcat-331d","320x52.5x80"
"Bobcat","331D","bobcat-331d","300x52.5x80"
"Bobcat","331E","bobcat-331e","320x52.5x80"
"Bobcat","331E","bobcat-331e","300x52.5x80"
"Bobcat","331G","bobcat-331g","320x52.5x80"
"Bobcat","334","bobcat-334","320x52.5x80"
"Bobcat","334D","bobcat-334d","320x52.5x80"
"Bobcat","334D","bobcat-334d","300x52.5x80"
"Bobcat","335","bobcat-335","320x55x88"
"Bobcat","335","bobcat-335","300x52.5x92"
"Bobcat","337","bobcat-337","400x73x74"
"Bobcat","337","bobcat-337","400x72.5x74"
"Bobcat","337G","bobcat-337g","400x73x74"
"Bobcat","337G","bobcat-337g","400x72.5x74"
"Bobcat","341","bobcat-341","400x73x74"
"Bobcat","341","bobcat-341","400x72.5x74"
"Bobcat","341D","bobcat-341d","400x73x74"
"Bobcat","341D","bobcat-341d","400x72.5x74"
"Bobcat","341G","bobcat-341g","400x73x74"
"Bobcat","341G","bobcat-341g","400x72.5x74"
"Bobcat","418","bobcat-418","180x72x39"
"Bobcat","418A","bobcat-418a","180x72x39"
"Bobcat","425","bobcat-425","320x52.5x80"
"Bobcat","425","bobcat-425","300x52.5x80"
"Bobcat","428","bobcat-428","320x52.5x80"
"Bobcat","428","bobcat-428","300x52.5x80"
"Bobcat","430D","bobcat-430d","320x55x88"
"Bobcat","430D","bobcat-430d","300x52.5x92"
"Bobcat","430G","bobcat-430g","320x55x88"
"Bobcat","430G","bobcat-430g","300x52.5x92"
"Bobcat","430ZHS","bobcat-430zhs","320x55x88"
"Bobcat","430ZHS","bobcat-430zhs","300x52.5x92"
"Bobcat","430ZTS","bobcat-430zts","320x55x88"
"Bobcat","430ZTS","bobcat-430zts","300x52.5x92"
"Bobcat","435","bobcat-435","400x73x74"
"Bobcat","435","bobcat-435","400x72.5x74"
"Bobcat","442","bobcat-442","450x71x86"
"Bobcat","444","bobcat-444","500x92x78"
"Bobcat","863","bobcat-863","450x86x56"
"Bobcat","864","bobcat-864","320x86x52"
"Bobcat","864","bobcat-864","450x86x52"
"Bobcat","864H","bobcat-864h","450x84x53"
"Bobcat","864H","bobcat-864h","450x86x52"
"Bobcat","873","bobcat-873","450x86x60"
"Bobcat","883","bobcat-883","450x86x60"
"Bobcat","E08","bobcat-e08","180x72x39"
"Bobcat","E10","bobcat-e10","180x72x39"
"Bobcat","E10Z","bobcat-e10z","180x72x39"
"Bobcat","E10e","bobcat-e10e","180x72x39"
"Bobcat","E14","bobcat-e14","200x72x41"
"Bobcat","E16","bobcat-e16","230x48x66"
"Bobcat","E17","bobcat-e17","230x48x66"
"Bobcat","E17Z","bobcat-e17z","230x48x66"
"Bobcat","E19","bobcat-e19","230x48x66"
"Bobcat","E20","bobcat-e20","230x48x72"
"Bobcat","E20Z","bobcat-e20z","230x48x72"
"Bobcat","E26","bobcat-e26","300x52.5x80"
"Bobcat","E27","bobcat-e27","300x52.5x80"
"Bobcat","E27z","bobcat-e27z","300x52.5x80"
"Bobcat","E32","bobcat-e32","320x52.5x80"
"Bobcat","E32","bobcat-e32","300x52.5x80"
"Bobcat","E32C","bobcat-e32c","320x52.5x80"
