Brand,Model (Raw),Model (Clean),Slug,Track Sizes,Has Bottom Roller Data,Has Sprocket Data,Has Idler Data,Has Carrier Roller Data
"Baraladi","FB1.2","FB1.2","baraladi-fb12","230x72x43","NO","NO","NO","NO"
"Baraladi","FB102B","FB102B","baraladi-fb102b","230x72x43","NO","NO","NO","NO"
"Baraladi","FB102EB","FB102EB","baraladi-fb102eb","230x72x43","NO","NO","NO","NO"
"Baraladi","FB203","FB203","baraladi-fb203","250x72x45","NO","NO","NO","NO"
"Baraladi","Granello","Granello","baraladi-granello","180x60x34","NO","NO","NO","NO"
"Baraladi","Minding","Minding","baraladi-minding","108x72x37; 180x72x37","NO","NO","NO","NO"
"Baratti","Scorpio","Scorpio","baratti-scorpio","190x72x37; 180x72x37","NO","NO","NO","NO"
"Barreto","1324STK","1324STK","barreto-1324stk","180x60x28","NO","NO","NO","NO"
"Barreto","13STKH","13STKH","barreto-13stkh","180x60x28","NO","NO","NO","NO"
"Barreto","16STKB","16STKB","barreto-16stkb","180x60x28","NO","NO","NO","NO"
"Barreto","1824TK","1824TK","barreto-1824tk","180x72x36","NO","NO","NO","NO"
"Barreto","2024RTK","2024RTK","barreto-2024rtk","180x72x36","NO","NO","NO","NO"
"Barreto","2036RTK","2036RTK","barreto-2036rtk","180x72x36","NO","NO","NO","NO"
"Barreto","2324RTK","2324RTK","barreto-2324rtk","180x72x36","NO","NO","NO","NO"
"Bastei","SLD151D","SLD151D","bastei-sld151d","180x72x37","NO","NO","NO","NO"
"Belle","5070","5070","belle-5070","200x72x37; 180x72x37","NO","NO","NO","NO"
"Bellon Maria","Monkey","Monkey","bellon-maria-monkey","170x60x34; 180x60x34","NO","NO","NO","NO"
"Benassi","M350H","M350H","benassi-m350h","180x60x35","NO","NO","NO","NO"
"Benassi","M450H","M450H","benassi-m450h","180x60x37","NO","NO","NO","NO"
"Benassi","M550H","M550H","benassi-m550h","180x60x37","NO","NO","NO","NO"
"Benati","M13","M13","benati-m13","230x72x43","NO","NO","NO","NO"
"Benati","M14","M14","benati-m14","230x72x43","NO","NO","NO","NO"
"Benati","M16","M16","benati-m16","230x72x45","NO","NO","NO","NO"
"Benfra","9.01","9.01","benfra-901","230x72x43","NO","NO","NO","NO"
"Benfra","9.01B","9.01B","benfra-901b","230x72x43","NO","NO","NO","NO"
"Benfra","9.02","9.02","benfra-902","230x72x43","NO","NO","NO","NO"
"Benfra","9.02B","9.02B","benfra-902b","250x72x52","NO","NO","NO","NO"
"Benfra","9.02S","9.02S","benfra-902s","230x72x43","NO","NO","NO","NO"
"Bentrac","M16","M16","bentrac-m16","230x72x45","NO","NO","NO","NO"
"Bentrac","M25","M25","bentrac-m25","300x54x74; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Beretta","GT15","GT15","beretta-gt15","230x96x39; 250x48x78","NO","NO","NO","NO"
"Beretta","GT52","GT52","beretta-gt52","250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Beretta","Skorpio2C","Skorpio2C","beretta-skorpio2c","230x72x43","NO","NO","NO","NO"
"Beretta","Spider","Spider","beretta-spider","230x72x43","NO","NO","NO","NO"
"Beretta","T 41 (Drilling Machine)","T41","beretta-t41","250x52.5x76; 300x52.5x76; 230x72x43","NO","NO","NO","NO"
"Beretta","T21 (Drilling Machine)","T21","beretta-t21","180x72x34","NO","NO","NO","NO"
"Beretta","T25 (Drilling Machine)","T25","beretta-t25","200x72x36; 180x72x36","NO","NO","NO","NO"
"Beretta","T43 (Drilling Machine)","T43","beretta-t43","230x72x43","NO","NO","NO","NO"
"Beretta","T43/2 (Drilling Machine)","T43/2","beretta-t432","250x72x52","NO","NO","NO","NO"
"Beretta","T44 (Drilling Machine)","T44","beretta-t44","250x107.5x37; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Beretta","T45 (Drilling Machine)","T45","beretta-t45","230x72x43","NO","NO","NO","NO"
