Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
Airman,AX40U,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX40U-4,400x73x72;400x72.5x72,400x73x72;400x72.5x72,400x73x72;400x72.5x72
Airman,AX40UR-1,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX40UR-2,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX45,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX45-2,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX45CGL-2,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX50,400x142x37;400x72.5x72,400x142x37;400x72.5x72,400x142x37;400x72.5x72
Airman,AX50-2,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX50-3,400x73x72;400x72.5x72,400x73x72;400x72.5x72,400x73x72;400x72.5x72
Airman,AX50U,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX50U-4,400x73x74;400x72.5x74,400x73x74;400x72.5x74,400x73x74;400x72.5x74
Airman,AX50UCGL,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX52UCGL-5,400x72.5x74,400x72.5x74,400x72.5x74
Airman,AX55U-6A,400x72.5x74,400x72.5x74,400x72.5x74
Airman,AX55UR,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX55UR-3,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX58,400x72.5x74,400x72.5x74,400x72.5x74
Airman,AX58MU,400x73x74;400x72.5x74,400x73x74;400x72.5x74,400x73x74;400x72.5x74
Airman,AXC12,230x96x31;230x48x62,230x96x31;230x48x62,230x96x31;230x48x62
Airman,AXC15,230x96x31;230x48x62,230x96x31;230x48x62,230x96x31;230x48x62
Airman,HM07S,180x72x36,180x72x36,180x72x36
Airman,HM10,200x72x42,200x72x42,200x72x42
Airman,HM10 NEW,20x96x33;230x48x66,20x96x33;230x48x66,20x96x33;230x48x66
Airman,HM10G,200x72x42,200x72x42,200x72x42
Airman,HM10SG,200x72x42,200x72x42,200x72x42
Airman,HM15,200x72x42,200x72x42,200x72x42
Airman,HM15 NEW,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,HM15S,200x72x42,200x72x42,200x72x42
Airman,HM30SGZ,300x109x40;300x52.5x82,300x109x40;300x52.5x82,300x109x40;300x52.5x82
Airman,HM35,300x109x42;300x52.5x86,300x109x42;300x52.5x86,300x109x42;300x52.5x86
Airman,HM45,400x146x36;400x72.5x72,400x146x36;400x72.5x72,400x146x36;400x72.5x72
Airman,HM45-2,400x146x36;400x72.5x72,400x146x36;400x72.5x72,400x146x36;400x72.5x72
Airman,HM45SG-2,400x146x36;400x72.5x72,400x146x36;400x72.5x72,400x146x36;400x72.5x72
Airman,HM50,400x146x36;400x72.5x72,400x146x36;400x72.5x72,400x146x36;400x72.5x72
Airman,HM55,400x146x36;400x72.5x72,400x146x36;400x72.5x72,400x146x36;400x72.5x72
Airman-Foredil,AX 16-2N,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman-Foredil,AX 29U,300x52.5x78,300x52.5x78 (Narrow),300x52.5x78(N)
Airman-Foredil,AX 35,300x55x80;300x52.5x82,300x55x80 (Narrow);300x52.5x82 (Narrow),300x55x80(N);300x52.5x82(N)
Airman-Foredil,AX 45,400x72.5x72,400x72.5x72,400x72.5x72
Airman-Foredil,AX22,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Almac,Athena-870,250x72x57,250x72x57,250x72x57
Almac,BIBI-1090EVO,250x72x64,250x72x64,250x72x64
Almac,BIBI-1250CL,250x72x64,250x72x64,250x72x64
Almac,BIBI-1470HE,250x72x64,250x72x64,250x72x64
Almac,BIBI-850BL,250x72x57,250x72x57,250x72x57
Almac,BIBI-850HE,200x72x47,200x72x47,200x72x47
