ID,Size,Price,Width Variant,Inventory Count,Is In Stock,Description
68fd94219c5aa599a844bed4,250x52.5x78,,Narrow,,,
68fd94219c5aa599a844be4f,250x96x40,,,,,
68fd94219c5aa599a844bf25,300x55x88,,,,,
68fd94219c5aa599a844bf26,350x52.5x84,,,,,
68fd94219c5aa599a844bf27,400x73x82,,,,,
68fd94219c5aa599a844bf28,200x72x44,,,,,
68fd94219c5aa599a844bf29,180x72x44,,,,,
68fd94219c5aa599a844bf2a,450x71x182,,,,,
68fd94219c5aa599a844bf2b,450x145x40,,,,,
68fd94219c5aa599a844bf2c,450x73x80,,,,,
68fd94219c5aa599a844be53,230x72x52,,,,,
68fd94219c5aa599a844bf2d,350x109x44,,,,,
68fd94219c5aa599a844bf2e,450x81.5x78,,,,,
68fd94219c5aa599a844bf2f,350x73x74,,,,,
68fd94219c5aa599a844bf30,250x109x36,,,,,
68fd94219c5aa599a844bf31,250x109x41,,,,,
68fd94219c5aa599a844bf32,300x109x43,,,,,
68fd94219c5aa599a844bf33,350x108x41,,,,,
68fd94219c5aa599a844bf34,400x72.5x70,,,,,
68fd94219c5aa599a844bf36,400x132x37,,,,,
68fd94219c5aa599a844bf37,450x81.5x74,,,,,
68fd94219c5aa599a844beda,450x81.5x76,,Narrow,,,
68fd94219c5aa599a844bf38,150x60x40,,,,,
68fd94219c5aa599a844bf3a,350x108x44,,,,,
68fd94219c5aa599a844bf39,350x109x41,,,,,
68fd94219c5aa599a844bf3b,250x48x72,,,,,
68fd94219c5aa599a844be6a,230x72x46,,,,,
68fd94219c5aa599a844be6e,250x55.5x79,,,,,
68fd94219c5aa599a844bed5,250x52.5x80,,Narrow,,,
68fd94219c5aa599a844bf3c,260x97x40,,,,,
68fd94219c5aa599a844bf3d,250x48.5x80,,,,,
68fd94219c5aa599a844bf41,260x52.5x76,,,,,
68fd94219c5aa599a844bf42,260x109x37,,,,,
68fd94219c5aa599a844be43,300x55x78,,Narrow,,,
68fd94219c5aa599a844bef6,300x55x77,,Narrow,,,
68fd94219c5aa599a844bf3e,260x109x39,,,,,
,260x100x42,,,,,
68fd94219c5aa599a844bf3f,320x100x45,,,,,
68fd94219c5aa599a844bf43,300x55.5x82,,,,,
68fd94219c5aa599a844beb4,300x55x81,,Narrow,,,
68fd94219c5aa599a844bf44,40x73x72,,,,,
68fd94219c5aa599a844be71,350x75.5x74,,,,,
68fd94219c5aa599a844bf45,400x135x38,,,,,
68fd94219c5aa599a844bf40,260x52.5x78,,,,,
68fd94219c5aa599a844bf46,300x53x80,,,,,
68fd94219c5aa599a844bf47,300x53x84,,,,,
68fd94219c5aa599a844bf48,280x72x52,,,,,
68fd94219c5aa599a844bf49,250x72x46,,,,,
68fd94219c5aa599a844bf4a,450x71x78,,,,,
68fd94219c5aa599a844bf4b,450x81x72,,,,,
68fd94219c5aa599a844bf4c,420x100x52,,,,,
68fd94219c5aa599a844bf4d,420x100x54,,,,,
68fd94219c5aa599a844bf4e,300x1009x39,,,,,
68fd94219c5aa599a844bf4f,250x19x37,,,,,
68fd94219c5aa599a844bf50,350x54.5x86,,,,,
,380x86x52,,,,,
68fd94219c5aa599a844bf51,23x48x70,,,,,
68fd94219c5aa599a844bf52,400x75.2x72,,,,,
68fd94219c5aa599a844be28,300x86x45,,,,,
68fd94219c5aa599a844be35,230x72x44,,,,,
68fd94219c5aa599a844be36,280x72x47,,,,,
68fd94219c5aa599a844be3c,300x100x43,,,,,
68fd94219c5aa599a844be52,300x54x80,,,,,
68fd94219c5aa599a844be54,180x73x37,,,,,
68fd94219c5aa599a844be60,400x142x36,,,,,
68fd94219c5aa599a844be66,500x90x78,,,,,
68fd94219c5aa599a844be67,500x100x65,,,,,
68fd94219c5aa599a844be68,200x72x45,,,,,
,450x86x54,,,,,
68fd94219c5aa599a844be7b,450x100x48,,,,,
68fd94219c5aa599a844be7c,450x100x50,,,,,
68fd94219c5aa599a844be7d,320x86x46,,,,,
68fd94219c5aa599a844bf54,250x52.5x72,,,,,
68fd94219c5aa599a844bf55,400x72x74,,,,,
68fd94219c5aa599a844bf56,190x72x38,,,,,
68fd94219c5aa599a844bf57,190x72x40,,,,,
68fd94219c5aa599a844bf58,190x72x43,,,,,
68fd94219c5aa599a844bf59,190x72x45,,,,,
68fd94219c5aa599a844bf5a,400x146x37,,,,,
,250x72x54,,,,,
68fd94219c5aa599a844bf62,250x72x41,,,,,
68fd94219c5aa599a844bf63,400x72.5x68,,,,,
68fd94219c5aa599a844bf64,230x72x59,,,,,
68fd94219c5aa599a844bf65,180x72x47,,,,,
68fd94219c5aa599a844bf66,400x73x68,,,,,
68fd94219c5aa599a844bf67,200x72x53,,,,,
68fd94219c5aa599a844bf69,190x72x34,,,,,
68fd94219c5aa599a844bf6a,300x101.6x40,,,,,
68fd94219c5aa599a844bf6b,240x72x48,,,,,
68fd94219c5aa599a844bf6c,450x84x57,,,,,
68fd94219c5aa599a844bf6d,260x52.5x72,,,,,
,300x55x75,,Wide,,,
68fd94219c5aa599a844be30,300x52.5x82,,Wide,,,
68fd94219c5aa599a844beb6,450x81x76,,Wide,,,
68fd94219c5aa599a844bf6e,500x92x88,,,,,
68fd94219c5aa599a844bf6f,450x8x60,,,,,
68fd94219c5aa599a844bf71,300x55x79,,,,,
68fd94219c5aa599a844be51,300x55x72,,Narrow,,,
68fd94219c5aa599a844bf72,180x68x28,,,,,
68fd94219c5aa599a844bf73,230x72x41,,,,,
68fd94219c5aa599a844bf74,250x109x38,,,,,
,300x101.6x39,,,,,
,300x101.6x43,,,,,
68fd94219c5aa599a844bf75,260x96x38,,,,,
68fd94219c5aa599a844bf76,300x55.5x76,,,,,
68fd94219c5aa599a844bf77,260x55.5x78,,,,,
,300x55.5x78,,,,,
68fd94219c5aa599a844bf78,320x106x39,,,,,
68fd94219c5aa599a844bf79,450x110x74,,,,,
68fd94219c5aa599a844bf7a,500x90x82,,,,,
68fd94219c5aa599a844bf7b,160x60x37,,,,,
68fd94219c5aa599a844bf7c,200x72x31,,,,,
68fd94219c5aa599a844bf7d,160x60x34,,,,,
68fd94219c5aa599a844bf5f,160x60x35,,,,,
68fd94219c5aa599a844bf7e,250x48.5x84,,,,,
68fd94219c5aa599a844bf7f,260x97x42,,,,,
68fd94219c5aa599a844bf80,350x73x76,,,,,
68fd94219c5aa599a844bf81,450x84x74,,,,,
68fd94219c5aa599a844bf82,250x72x35,,,,,
68fd94219c5aa599a844bf83,300x55x86,,,,,
68fd94219c5aa599a844bf84,300x55x94,,,,,
